source_db,fid,mid,gender,first,first_alias,last,last_alias,name
FIW,F0001,1,m,madmoud,,abbas,,madmoud abbas
FIW,F0001,2,f,amina,,abbas,,amina abbas
FIW,F0001,3,m,tareq,,abbas,,tareq abbas
FIW,F0001,4,m,yasser,,abbas,,yasser abbas
FIW,F0002,1,m,greg,,abbott,,greg abbott
FIW,F0002,2,f,cecilia,,abbott,,cecilia abbott
FIW,F0002,3,f,audrey,,abbott,,audrey abbott
FIW,F0003,1,f,paula,,abdul,,paula abdul
FIW,F0003,2,m,harry,,abdul,,harry abdul
FIW,F0003,3,f,lorraine,,abdul,,lorraine abdul
FIW,F0003,4,f,wendy mandel,,abdul,,wendy mandel abdul
FIW,F0004,1,m,roman,,abramovich,,roman abramovich
FIW,F0004,2,m,arkadiy,,abramovich,,arkadiy abramovich
FIW,F0004,3,f,irina,,abramovich,,irina abramovich
FIW,F0004,4,f,anna,,abramovich,,anna abramovich
FIW,F0004,5,f,sofia,,abramovich,,sofia abramovich
FIW,F0004,6,m,aaron,,abramovich,,aaron abramovich
FIW,F0004,7,f,dasha,,abramovich,,dasha abramovich
FIW,F0005,1,f,danneel,,ackles,,danneel ackles
FIW,F0005,2,f,jj,,ackles,,jj ackles
FIW,F0005,3,m,jensen,,ackles,,jensen ackles
FIW,F0006,1,m,michael,,aday,,michael aday
FIW,F0006,2,f,leslie,,aday,,leslie aday
FIW,F0006,3,f,amanda,,aday,,amanda aday
FIW,F0006,4,f,pearl,,aday,,pearl aday
FIW,F0007,1,m,bhumibol,,adulyadej,,bhumibol adulyadej
FIW,F0007,2,f,sirikit,,adulyadej,,sirikit adulyadej
FIW,F0007,3,m,maha,,adulyadej,,maha adulyadej
FIW,F0007,4,f,chulabhorn,,adulyadej,,chulabhorn adulyadej
FIW,F0007,5,f,stringhorn,,adulyadej,,stringhorn adulyadej
FIW,F0007,6,f,ubolratana,,adulyadej,,ubolratana adulyadej
FIW,F0007,7,f,srinagarindra,,adulyadej,,srinagarindra adulyadej
