db1,db2,fid.mid,db2.id,name1,name2,confidence
fiw,celeba,F0005.1,012777.jpg,danneel ackles,Danneel Ackles,1.0
fiw,celeba,F0005.1,044394.jpg,danneel ackles,Danneel Ackles,1.0
fiw,celeba,F0005.1,044466.jpg,danneel ackles,Danneel Ackles,1.0
fiw,celeba,F0005.1,040020.jpg,danneel ackles,Danneel Ackles,1.0
fiw,celeba,F0005.1,024330.jpg,danneel ackles,Danneel Ackles,1.0
fiw,celeba,F0005.1,007174.jpg,danneel ackles,Danneel Ackles,1.0
fiw,celeba,F0005.1,026605.jpg,danneel ackles,Danneel Ackles,1.0
fiw,celeba,F0005.1,030386.jpg,danneel ackles,Danneel Ackles,1.0
fiw,celeba,F0005.1,032921.jpg,danneel ackles,Danneel Ackles,1.0
fiw,celeba,F0005.1,053206.jpg,danneel ackles,Danneel Ackles,1.0
fiw,celeba,F0005.3,165181.jpg,jensen ackles,Jensen Ackles,1.0
fiw,celeba,F0005.3,166647.jpg,jensen ackles,Jensen Ackles,1.0
fiw,celeba,F0005.3,169064.jpg,jensen ackles,Jensen Ackles,1.0
fiw,celeba,F0005.3,169310.jpg,jensen ackles,Jensen Ackles,1.0
fiw,celeba,F0005.3,169399.jpg,jensen ackles,Jensen Ackles,1.0
fiw,celeba,F0005.3,169950.jpg,jensen ackles,Jensen Ackles,1.0
fiw,celeba,F0005.3,170778.jpg,jensen ackles,Jensen Ackles,1.0
fiw,celeba,F0005.3,170890.jpg,jensen ackles,Jensen Ackles,1.0
fiw,celeba,F0005.3,172886.jpg,jensen ackles,Jensen Ackles,1.0
fiw,celeba,F0005.3,173305.jpg,jensen ackles,Jensen Ackles,1.0
fiw,celeba,F0008.2,183749.jpg,violet affleck,Violet Affleck,1.0
fiw,celeba,F0008.2,184514.jpg,violet affleck,Violet Affleck,1.0
fiw,celeba,F0008.2,184690.jpg,violet affleck,Violet Affleck,1.0
fiw,celeba,F0008.2,186513.jpg,violet affleck,Violet Affleck,1.0
fiw,celeba,F0008.2,188906.jpg,violet affleck,Violet Affleck,1.0
fiw,celeba,F0008.2,188997.jpg,violet affleck,Violet Affleck,1.0
fiw,celeba,F0008.2,191740.jpg,violet affleck,Violet Affleck,1.0
fiw,celeba,F0008.2,191757.jpg,violet affleck,Violet Affleck,1.0
fiw,celeba,F0008.2,192229.jpg,violet affleck,Violet Affleck,1.0
fiw,celeba,F0008.2,192789.jpg,violet affleck,Violet Affleck,1.0
fiw,celeba,F0008.4,009676.jpg,casey affleck,Casey Affleck,1.0
fiw,celeba,F0008.4,017126.jpg,casey affleck,Casey Affleck,1.0
fiw,celeba,F0008.4,048188.jpg,casey affleck,Casey Affleck,1.0
fiw,celeba,F0008.4,041092.jpg,casey affleck,Casey Affleck,1.0
fiw,celeba,F0008.4,027436.jpg,casey affleck,Casey Affleck,1.0
fiw,celeba,F0008.4,027655.jpg,casey affleck,Casey Affleck,1.0
fiw,celeba,F0008.4,054707.jpg,casey affleck,Casey Affleck,1.0
fiw,celeba,F0008.4,057880.jpg,casey affleck,Casey Affleck,1.0
fiw,celeba,F0008.4,059487.jpg,casey affleck,Casey Affleck,1.0
fiw,celeba,F0008.4,063470.jpg,casey affleck,Casey Affleck,1.0
fiw,celeba,F0016.2,089073.jpg,karl albrecht,Karl Albrecht,1.0
fiw,celeba,F0016.2,155776.jpg,karl albrecht,Karl Albrecht,1.0
fiw,celeba,F0017.1,002631.jpg,alan alda,Alan Alda,1.0
fiw,celeba,F0017.1,046766.jpg,alan alda,Alan Alda,1.0
fiw,celeba,F0017.1,036464.jpg,alan alda,Alan Alda,1.0
fiw,celeba,F0017.1,048391.jpg,alan alda,Alan Alda,1.0
fiw,celeba,F0017.1,040242.jpg,alan alda,Alan Alda,1.0
fiw,celeba,F0017.1,040703.jpg,alan alda,Alan Alda,1.0
fiw,celeba,F0017.1,031771.jpg,alan alda,Alan Alda,1.0
fiw,celeba,F0017.1,052212.jpg,alan alda,Alan Alda,1.0
fiw,celeba,F0017.1,067072.jpg,alan alda,Alan Alda,1.0
fiw,celeba,F0017.1,090087.jpg,alan alda,Alan Alda,1.0
