db1,db2,fid.mid,db2.id,name1,name2,confidence
fiw,webface,F0005.1,1566486,danneel ackles,Danneel Ackles,1
fiw,webface,F0005.3,0010075,jensen ackles,Jensen Ackles,1
fiw,webface,F0008.4,0000729,casey affleck,Casey Affleck,1
fiw,webface,F0021.4,2064412,robbie amell,Robbie Amell,1
fiw,webface,F0026.1,0031976,judd apatow,Judd Apatow,1
fiw,webface,F0027.1,0000775,christina applegate,Christina Applegate,1
fiw,webface,F0031.1,1404824,laura arango,Laura Marano,0.9166666666666666
fiw,webface,F0035.2,0035060,adam arkin,Adam Arkin,1
fiw,webface,F0042.1,0041281,rene auberjonois,Rene Auberjonois,1
fiw,webface,F0044.1,0000102,kevin bacon,Kevin Bacon,1
fiw,webface,F0048.2,0000286,stephen baldwin,Stephen Baldwin,1
fiw,webface,F0048.3,0000287,william baldwin,William Baldwin,1
fiw,webface,F0048.4,0000838,daniel baldwin,Daniel Baldwin,1
fiw,webface,F0052.1,0004724,christine baranski,Christine Baranski,1
fiw,webface,F0061.1,0000867,jason bateman,Jason Bateman,1
fiw,webface,F0061.5,0000868,justin bateman,Justine Bateman,0.9655172413793104
fiw,webface,F0062.1,0000293,sean bean,Sean Bean,1
fiw,webface,F0069.4,0069079,troian bellisario,Troian Bellisario,1
fiw,webface,F0078.1,3595501,justin bieber,Justin Bieber,1
fiw,webface,F0080.1,3058260,kim biermann,Kim Zolciak-Biermann,0.94
fiw,webface,F0091.1,2595625,chris bosh,Chris Bosh,1
fiw,webface,F0093.1,0100866,julie bowen,Julie Bowen,1
fiw,webface,F0097.1,0103785,zach braff,Zach Braff,1
fiw,webface,F0100.1,0108287,jordana brewster,Jordana Brewster,1
fiw,webface,F0101.3,0000977,beau bridges,Beau Bridges,1
fiw,webface,F0104.1,0000981,james brolin,James Brolin,1
fiw,webface,F0104.2,0000982,josh brolin,Josh Brolin,1
fiw,webface,F0105.3,0112492,sean brosnan,Sean Brosnan,1
fiw,webface,F0113.1,0000997,gary busey,Gary Busey,1
fiw,webface,F0113.2,0000998,jake busey,Jake Busey,1
fiw,webface,F0116.5,0004790,scott caan,Scott Caan,1
fiw,webface,F0121.1,0136797,steve carell,Steve Carell,1
fiw,webface,F0121.2,0909391,nancy carell,Nancy Carell,1
fiw,webface,F0131.2,1211485,raul castro,Raquel Castro,0.9166666666666666
fiw,webface,F0132.1,0150362,justin chambers,Justin Chambers,1
fiw,webface,F0133.4,1192856,charles chan,Charles Chen,0.9166666666666666
fiw,webface,F0134.1,0151419,kyle chandler,Kyle Chandler,1
fiw,webface,F0137.1,0000332,don cheadle,Don Cheadle,1
fiw,webface,F0143.2,0166921,hillary clinton,Hillary Clinton,1
fiw,webface,F0145.1,0001053,ethan coen,Ethan Coen,1
fiw,webface,F0145.2,0001054,joel coen,Joel Coen,1
fiw,webface,F0146.1,0170306,stephen colbert,Stephen Colbert,1
fiw,webface,F0147.1,3182094,chris colfer,Chris Colfer,1
fiw,webface,F0148.1,0002015,phil collins,Phil Collins,1
fiw,webface,F0148.2,2934314,lily collins,Lily Collins,1
fiw,webface,F0149.1,0172557,misha collins,Misha Collins,1
fiw,webface,F0151.3,0001064,jason connery,Jason Connery,1
fiw,webface,F0152.1,1740092,lauren conrad,Lauren Conrad,1
fiw,webface,F0155.2,0177846,anderson cooper,Anderson Cooper,1
fiw,webface,F0156.4,0001068,sofia coppola,Sofia Coppola,1
fiw,webface,F0156.5,0178886,gio coppola,Gia Coppola,0.9090909090909091
fiw,webface,F0158.8,0001071,annie costner,Annie Costner,1
fiw,webface,F0159.1,0182839,marion cotillard,Marion Cotillard,1
fiw,webface,F0161.1,0186505,bryan cranston,Bryan Cranston,1
fiw,webface,F0162.6,0186844,john crawford,Johnny Crawford,0.9285714285714286
fiw,webface,F0163.1,0187719,terry crews,Terry Crews,1
fiw,webface,F0163.3,0187719,terra crews,Terry Crews,0.9090909090909091
fiw,webface,F0164.1,2023050,darren criss,Darren Criss,1
fiw,webface,F0165.2,0002026,mary crosby,Mary Crosby,1
fiw,webface,F0165.6,0000344,dennis crosby,Denise Crosby,0.9230769230769231
fiw,webface,F0165.7,0002026,gary crosby,Mary Crosby,0.9090909090909091
fiw,webface,F0167.3,2490665,suri cruise,Suri Cruise,1
fiw,webface,F0169.1,1212722,benedict cumberbatch,Benedict Cumberbatch,1
fiw,webface,F0170.1,0192505,kaley cuoco,Kaley Cuoco,1
fiw,webface,F0172.1,0000349,joan cusack,Joan Cusack,1
fiw,webface,F0172.5,0193639,ann cusack,Ann Cusack,1
fiw,webface,F0172.6,0000349,john cusack,Joan Cusack,0.9090909090909091
fiw,webface,F0173.1,0004854,billy cyrus,Billy Ray Cyrus,0.94
fiw,webface,F0173.2,1415323,miley cyrus,Miley Cyrus,1
fiw,webface,F0173.3,1148321,tish cyrus,Tish Cyrus,1
fiw,webface,F0175.1,0199215,hugh dancy,Hugh Dancy,1
fiw,webface,F0185.1,0001131,patrick dempsey,Patrick Dempsey,1
fiw,webface,F0189.1,0221046,zooey deschanel,Zooey Deschanel,1
fiw,webface,F0189.2,0221043,emily deschanel,Emily Deschanel,1
fiw,webface,F0191.1,0227759,peter dinklage,Peter Dinklage,1
fiw,webface,F0194.4,1206265,susan downey,Susan Downey,1
fiw,webface,F0199.6,0240380,haylie duff,Haylie Duff,1
fiw,webface,F0200.4,0241049,josh duhamel,Josh Duhamel,1
fiw,webface,F0205.3,2207222,scott eastwood,Scott Eastwood,1
fiw,webface,F0205.5,0247753,dina eastwood,Dina Eastwood,1
fiw,webface,F0205.7,0002055,allison eastwood,Alison Eastwood,0.967741935483871
fiw,webface,F0210.1,1374980,zac efron,Zac Efron,1
fiw,webface,F0213.1,0254402,chris elliott,Chris Elliott,1
fiw,webface,F0213.2,2212031,abby elliott,Abby Elliott,1
fiw,webface,F0214.3,2691892,megan ellison,Megan Ellison,1
fiw,webface,F0219.1,0004898,omar epps,Omar Epps,1
fiw,webface,F0221.5,0000389,emilio estevez,Emilio Estevez,1
fiw,webface,F0222.1,0262635,chris evans evans,Chris Evans,0.94
fiw,webface,F0223.1,0004906,peter facinelli,Peter Facinelli,1
fiw,webface,F0224.1,0266422,jimmy fallon,Jimmy Fallon,1
fiw,webface,F0225.1,0266824,dakota fanning,Dakota Fanning,1
fiw,webface,F0225.2,1102577,elle fanning,Elle Fanning,1
fiw,webface,F0226.1,0267812,vera farmiga,Vera Farmiga,1
fiw,webface,F0226.2,3920288,taissa farmiga,Taissa Farmiga,1
fiw,webface,F0235.3,0001208,miguel ferrer,Miguel Ferrer,1
fiw,webface,F0241.1,0278979,jenna fischer fischer,Jenna Fischer,0.94
fiw,webface,F0243.1,0279545,isla fisher,Isla Fisher,1
fiw,webface,F0253.1,1083271,megan fox fox,Megan Fox,0.94
